[INFO ] 2019-09-22T07:24:09,166 [main] RPCClient - Startup took 1343 msec
[INFO ] 2019-09-22T07:24:16,182 [Thread-2] Client - 29 3832
[INFO ] 2019-09-22T07:24:17,508 [Thread-2] Client - 29 1325
[INFO ] 2019-09-22T07:24:18,687 [Thread-2] Client - 29 1179
[INFO ] 2019-09-22T07:24:19,628 [Thread-2] Client - 29 940
[INFO ] 2019-09-22T07:24:20,470 [Thread-2] Client - 29 841
[INFO ] 2019-09-22T07:24:21,145 [Thread-2] Client - 29 674
[INFO ] 2019-09-22T07:24:21,660 [Thread-2] Client - 29 515
[INFO ] 2019-09-22T07:24:22,116 [Thread-2] Client - 29 454
[INFO ] 2019-09-22T07:24:22,639 [Thread-2] Client - 29 519
[INFO ] 2019-09-22T07:24:23,071 [Thread-2] Client - 29 431
[INFO ] 2019-09-22T07:24:23,446 [Thread-2] Client - 29 374
[INFO ] 2019-09-22T07:24:23,820 [Thread-2] Client - 29 374
[INFO ] 2019-09-22T07:24:24,175 [Thread-2] Client - 29 354
[INFO ] 2019-09-22T07:24:24,498 [Thread-2] Client - 29 321
[INFO ] 2019-09-22T07:24:24,940 [Thread-2] Client - 29 442
[INFO ] 2019-09-22T07:24:25,372 [Thread-2] Client - 29 432
[INFO ] 2019-09-22T07:24:25,782 [Thread-2] Client - 29 410
[INFO ] 2019-09-22T07:24:26,178 [Thread-2] Client - 29 395
[INFO ] 2019-09-22T07:24:26,471 [Thread-2] Client - 29 291
[INFO ] 2019-09-22T07:24:26,892 [Thread-2] Client - 29 420
[INFO ] 2019-09-22T07:24:27,232 [Thread-2] Client - 29 340
[INFO ] 2019-09-22T07:24:27,528 [Thread-2] Client - 29 295
[INFO ] 2019-09-22T07:24:27,885 [Thread-2] Client - 29 357
[INFO ] 2019-09-22T07:24:28,131 [Thread-2] Client - 29 246
[INFO ] 2019-09-22T07:24:28,439 [Thread-2] Client - 29 307
[INFO ] 2019-09-22T07:24:28,780 [Thread-2] Client - 29 341
[INFO ] 2019-09-22T07:24:29,063 [Thread-2] Client - 29 283
