[INFO ] 2019-09-22T09:05:41,721 [main] RPCClient - Failed Startup took 1259 msec
[INFO ] 2019-09-22T09:12:01,357 [main] RPCClient - Startup took 1951 msec
[INFO ] 2019-09-22T09:14:31,687 [main] RPCClient - Startup took 1684 msec
[INFO ] 2019-09-22T09:40:59,632 [main] RPCClient - Startup took 1874 msec
[INFO ] 2019-09-22T09:41:09,780 [Thread-2] Client - 27 9857
[INFO ] 2019-09-22T09:41:10,463 [Thread-2] Client - 27 683
[INFO ] 2019-09-22T09:41:11,084 [Thread-2] Client - 27 620
[INFO ] 2019-09-22T09:41:11,709 [Thread-2] Client - 27 623
[INFO ] 2019-09-22T09:41:12,213 [Thread-2] Client - 27 501
[INFO ] 2019-09-22T09:41:12,787 [Thread-2] Client - 27 562
[INFO ] 2019-09-22T09:41:13,172 [Thread-2] Client - 27 384
[INFO ] 2019-09-22T09:41:13,575 [Thread-2] Client - 27 403
[INFO ] 2019-09-22T09:41:14,032 [Thread-2] Client - 27 456
[INFO ] 2019-09-22T09:41:14,430 [Thread-2] Client - 27 394
[INFO ] 2019-09-22T09:41:14,775 [Thread-2] Client - 27 344
[INFO ] 2019-09-22T09:41:15,135 [Thread-2] Client - 27 351
[INFO ] 2019-09-22T09:41:15,556 [Thread-2] Client - 27 418
[INFO ] 2019-09-22T09:41:16,103 [Thread-2] Client - 27 547
[INFO ] 2019-09-22T09:41:16,648 [Thread-2] Client - 27 544
[INFO ] 2019-09-22T09:41:17,019 [Thread-2] Client - 27 371
[INFO ] 2019-09-22T09:41:17,366 [Thread-2] Client - 27 347
[INFO ] 2019-09-22T09:41:17,736 [Thread-2] Client - 27 369
[INFO ] 2019-09-22T09:41:18,054 [Thread-2] Client - 27 317
[INFO ] 2019-09-22T09:41:18,386 [Thread-2] Client - 27 332
[INFO ] 2019-09-22T09:41:18,770 [Thread-2] Client - 27 384
[INFO ] 2019-09-22T09:41:19,085 [Thread-2] Client - 27 314
[INFO ] 2019-09-22T09:41:19,425 [Thread-2] Client - 27 339
[INFO ] 2019-09-22T09:41:19,749 [Thread-2] Client - 27 324
[INFO ] 2019-09-22T09:41:20,073 [Thread-2] Client - 27 324
[INFO ] 2019-09-22T09:41:20,439 [Thread-2] Client - 27 366
[INFO ] 2019-09-22T09:41:20,772 [Thread-2] Client - 27 333
[INFO ] 2019-09-22T09:41:21,085 [Thread-2] Client - 27 313
[INFO ] 2019-09-22T09:41:21,453 [Thread-2] Client - 27 368
[INFO ] 2019-09-22T09:41:21,750 [Thread-2] Client - 27 296
[INFO ] 2019-09-22T09:41:22,113 [Thread-2] Client - 27 362
[INFO ] 2019-09-22T09:41:22,653 [Thread-2] Client - 27 539
[INFO ] 2019-09-22T09:41:23,017 [Thread-2] Client - 27 363
[INFO ] 2019-09-22T09:41:23,239 [Thread-2] Client - 27 222
[INFO ] 2019-09-22T09:41:23,505 [Thread-2] Client - 27 265
[INFO ] 2019-09-22T09:41:23,746 [Thread-2] Client - 27 240
[INFO ] 2019-09-22T09:41:24,033 [Thread-2] Client - 27 285
[INFO ] 2019-09-22T09:41:24,322 [Thread-2] Client - 27 289
[INFO ] 2019-09-22T09:41:24,601 [Thread-2] Client - 27 279
[INFO ] 2019-09-22T09:41:24,824 [Thread-2] Client - 27 222
[INFO ] 2019-09-22T09:41:25,035 [Thread-2] Client - 27 208
[INFO ] 2019-09-22T09:41:25,338 [Thread-2] Client - 27 302
[INFO ] 2019-09-22T09:41:25,582 [Thread-2] Client - 27 243
[INFO ] 2019-09-22T09:41:25,783 [Thread-2] Client - 27 200
[INFO ] 2019-09-22T09:41:26,039 [Thread-2] Client - 27 254
[INFO ] 2019-09-22T09:41:26,279 [Thread-2] Client - 27 240
[INFO ] 2019-09-22T09:41:26,508 [Thread-2] Client - 27 228
[INFO ] 2019-09-22T09:41:26,773 [Thread-2] Client - 27 264
[INFO ] 2019-09-22T09:41:27,168 [Thread-2] Client - 27 394
[INFO ] 2019-09-22T09:41:27,394 [Thread-2] Client - 27 225
[INFO ] 2019-09-22T09:41:27,671 [Thread-2] Client - 27 276
[INFO ] 2019-09-22T09:41:28,123 [Thread-2] Client - 27 452
[INFO ] 2019-09-22T09:41:28,567 [Thread-2] Client - 27 443
[INFO ] 2019-09-22T09:41:28,823 [Thread-2] Client - 27 255
[INFO ] 2019-09-22T09:41:29,026 [Thread-2] Client - 27 203
[INFO ] 2019-09-22T09:41:29,253 [Thread-2] Client - 27 226
[INFO ] 2019-09-22T09:41:29,469 [Thread-2] Client - 27 215
[INFO ] 2019-09-22T09:41:29,708 [Thread-2] Client - 27 239
[INFO ] 2019-09-22T09:41:29,925 [Thread-2] Client - 27 217
[INFO ] 2019-09-22T09:41:30,147 [Thread-2] Client - 27 221
[INFO ] 2019-09-22T09:41:30,363 [Thread-2] Client - 27 215
[INFO ] 2019-09-22T09:41:30,594 [Thread-2] Client - 27 230
[INFO ] 2019-09-22T09:41:30,831 [Thread-2] Client - 27 236
[INFO ] 2019-09-22T09:41:31,160 [Thread-2] Client - 27 315
[INFO ] 2019-09-22T09:41:31,440 [Thread-2] Client - 27 280
[INFO ] 2019-09-22T09:41:31,645 [Thread-2] Client - 27 204
[INFO ] 2019-09-22T09:41:31,850 [Thread-2] Client - 27 204
[INFO ] 2019-09-22T09:41:32,099 [Thread-2] Client - 27 249
[INFO ] 2019-09-22T09:41:32,387 [Thread-2] Client - 27 288
[INFO ] 2019-09-22T09:41:32,688 [Thread-2] Client - 27 299
[INFO ] 2019-09-22T09:41:32,956 [Thread-2] Client - 27 268
[INFO ] 2019-09-22T09:41:33,223 [Thread-2] Client - 27 262
[INFO ] 2019-09-22T09:41:33,454 [Thread-2] Client - 27 230
[INFO ] 2019-09-22T09:41:33,720 [Thread-2] Client - 27 265
[INFO ] 2019-09-22T09:41:33,954 [Thread-2] Client - 27 233
[INFO ] 2019-09-22T09:41:34,151 [Thread-2] Client - 27 197
[INFO ] 2019-09-22T09:41:34,417 [Thread-2] Client - 27 265
[INFO ] 2019-09-22T09:41:34,633 [Thread-2] Client - 27 215
[INFO ] 2019-09-22T09:41:34,879 [Thread-2] Client - 27 246
[INFO ] 2019-09-22T09:41:35,099 [Thread-2] Client - 27 220
[INFO ] 2019-09-22T09:41:35,320 [Thread-2] Client - 27 219
[INFO ] 2019-09-22T09:41:35,549 [Thread-2] Client - 27 229
[INFO ] 2019-09-22T09:41:35,793 [Thread-2] Client - 27 244
[INFO ] 2019-09-22T09:41:36,002 [Thread-2] Client - 27 208
[INFO ] 2019-09-22T09:41:36,259 [Thread-2] Client - 27 256
[INFO ] 2019-09-22T09:41:36,506 [Thread-2] Client - 27 246
[INFO ] 2019-09-22T09:41:36,711 [Thread-2] Client - 27 204
[INFO ] 2019-09-22T09:41:36,919 [Thread-2] Client - 27 208
[INFO ] 2019-09-22T09:41:37,124 [Thread-2] Client - 27 204
[INFO ] 2019-09-22T09:41:37,364 [Thread-2] Client - 27 239
[INFO ] 2019-09-22T09:41:37,633 [Thread-2] Client - 27 269
[INFO ] 2019-09-22T09:41:37,878 [Thread-2] Client - 27 244
[INFO ] 2019-09-22T09:41:38,158 [Thread-2] Client - 27 279
[INFO ] 2019-09-22T09:41:38,338 [Thread-2] Client - 27 179
[INFO ] 2019-09-22T09:41:38,530 [Thread-2] Client - 27 191
[INFO ] 2019-09-22T09:41:38,822 [Thread-2] Client - 27 291
[INFO ] 2019-09-22T09:41:39,108 [Thread-2] Client - 27 285
[INFO ] 2019-09-22T09:41:39,398 [Thread-2] Client - 27 290
[INFO ] 2019-09-22T09:41:39,582 [Thread-2] Client - 27 183
[INFO ] 2019-09-22T09:41:39,751 [Thread-2] Client - 27 168
[INFO ] 2019-09-22T09:41:39,935 [Thread-2] Client - 27 184
[INFO ] 2019-09-22T09:41:40,159 [Thread-2] Client - 27 224
[INFO ] 2019-09-22T09:41:40,389 [Thread-2] Client - 27 230
[INFO ] 2019-09-22T09:41:40,570 [Thread-2] Client - 27 180
[INFO ] 2019-09-22T09:41:40,801 [Thread-2] Client - 27 231
[INFO ] 2019-09-22T09:41:41,040 [Thread-2] Client - 27 238
[INFO ] 2019-09-22T09:41:41,304 [Thread-2] Client - 27 262
[INFO ] 2019-09-22T09:41:41,545 [Thread-2] Client - 27 241
[INFO ] 2019-09-22T09:41:41,778 [Thread-2] Client - 27 231
[INFO ] 2019-09-22T09:41:42,009 [Thread-2] Client - 27 231
[INFO ] 2019-09-22T09:41:42,278 [Thread-2] Client - 27 269
[INFO ] 2019-09-22T09:41:42,464 [Thread-2] Client - 27 185
[INFO ] 2019-09-22T09:41:42,690 [Thread-2] Client - 27 226
[INFO ] 2019-09-22T09:41:42,922 [Thread-2] Client - 27 231
[INFO ] 2019-09-22T09:41:43,156 [Thread-2] Client - 27 233
[INFO ] 2019-09-22T09:41:43,362 [Thread-2] Client - 27 205
[INFO ] 2019-09-22T09:41:43,548 [Thread-2] Client - 27 185
[INFO ] 2019-09-22T09:41:43,741 [Thread-2] Client - 27 192
[INFO ] 2019-09-22T09:41:43,993 [Thread-2] Client - 27 251
[INFO ] 2019-09-22T09:41:44,209 [Thread-2] Client - 27 215
[INFO ] 2019-09-22T09:41:44,417 [Thread-2] Client - 27 207
[INFO ] 2019-09-22T09:41:44,685 [Thread-2] Client - 27 267
[INFO ] 2019-09-22T09:41:44,896 [Thread-2] Client - 27 209
[INFO ] 2019-09-22T09:41:45,095 [Thread-2] Client - 27 198
[INFO ] 2019-09-22T09:41:45,376 [Thread-2] Client - 27 280
[INFO ] 2019-09-22T09:41:45,556 [Thread-2] Client - 27 179
[INFO ] 2019-09-22T09:41:45,752 [Thread-2] Client - 27 196
[INFO ] 2019-09-22T09:41:45,973 [Thread-2] Client - 27 221
[INFO ] 2019-09-22T09:41:46,184 [Thread-2] Client - 27 210
[INFO ] 2019-09-22T09:41:46,432 [Thread-2] Client - 27 248
[INFO ] 2019-09-22T09:41:46,646 [Thread-2] Client - 27 213
[INFO ] 2019-09-22T09:41:46,864 [Thread-2] Client - 27 217
[INFO ] 2019-09-22T09:41:47,025 [Thread-2] Client - 27 161
[INFO ] 2019-09-22T09:41:47,212 [Thread-2] Client - 27 186
[INFO ] 2019-09-22T09:41:47,423 [Thread-2] Client - 27 211
[INFO ] 2019-09-22T09:41:47,622 [Thread-2] Client - 27 198
[INFO ] 2019-09-22T09:41:47,832 [Thread-2] Client - 27 208
[INFO ] 2019-09-22T09:41:48,027 [Thread-2] Client - 27 195
[INFO ] 2019-09-22T09:41:48,194 [Thread-2] Client - 27 167
[INFO ] 2019-09-22T09:41:48,384 [Thread-2] Client - 27 189
[INFO ] 2019-09-22T09:41:48,611 [Thread-2] Client - 27 227
[INFO ] 2019-09-22T09:41:48,785 [Thread-2] Client - 27 173
[INFO ] 2019-09-22T09:41:48,968 [Thread-2] Client - 27 182
[INFO ] 2019-09-22T09:41:49,143 [Thread-2] Client - 27 175
[INFO ] 2019-09-22T09:41:49,324 [Thread-2] Client - 27 180
[INFO ] 2019-09-22T09:41:49,493 [Thread-2] Client - 27 168
[INFO ] 2019-09-22T09:41:49,831 [Thread-2] Client - 27 337
[INFO ] 2019-09-22T09:41:50,163 [Thread-2] Client - 27 331
[INFO ] 2019-09-22T09:41:50,419 [Thread-2] Client - 27 256
[INFO ] 2019-09-22T09:41:50,599 [Thread-2] Client - 27 179
[INFO ] 2019-09-22T09:41:50,783 [Thread-2] Client - 27 183
[INFO ] 2019-09-22T09:41:50,975 [Thread-2] Client - 27 191
[INFO ] 2019-09-22T09:41:51,192 [Thread-2] Client - 27 216
[INFO ] 2019-09-22T09:41:51,399 [Thread-2] Client - 27 206
[INFO ] 2019-09-22T09:41:51,585 [Thread-2] Client - 27 184
[INFO ] 2019-09-22T09:41:51,780 [Thread-2] Client - 27 194
[INFO ] 2019-09-22T09:41:51,956 [Thread-2] Client - 27 175
[INFO ] 2019-09-22T09:41:52,156 [Thread-2] Client - 27 200
[INFO ] 2019-09-22T09:41:52,390 [Thread-2] Client - 27 233
[INFO ] 2019-09-22T09:41:52,558 [Thread-2] Client - 27 167
[INFO ] 2019-09-22T09:41:52,733 [Thread-2] Client - 27 174
[INFO ] 2019-09-22T09:41:52,919 [Thread-2] Client - 27 185
[INFO ] 2019-09-22T09:41:53,145 [Thread-2] Client - 27 225
[INFO ] 2019-09-22T09:41:53,357 [Thread-2] Client - 27 211
[INFO ] 2019-09-22T09:41:53,554 [Thread-2] Client - 27 196
[INFO ] 2019-09-22T09:41:53,807 [Thread-2] Client - 27 252
[INFO ] 2019-09-22T09:41:54,024 [Thread-2] Client - 27 217
[INFO ] 2019-09-22T09:41:54,290 [Thread-2] Client - 27 266
[INFO ] 2019-09-22T09:41:54,501 [Thread-2] Client - 27 211
[INFO ] 2019-09-22T09:41:54,675 [Thread-2] Client - 27 174
[INFO ] 2019-09-22T09:41:54,860 [Thread-2] Client - 27 185
[INFO ] 2019-09-22T09:41:55,042 [Thread-2] Client - 27 182
[INFO ] 2019-09-22T09:41:55,202 [Thread-2] Client - 27 160
[INFO ] 2019-09-22T09:41:55,371 [Thread-2] Client - 27 168
[INFO ] 2019-09-22T09:41:55,555 [Thread-2] Client - 27 183
[INFO ] 2019-09-22T09:41:55,717 [Thread-2] Client - 27 162
[INFO ] 2019-09-22T09:41:55,891 [Thread-2] Client - 27 174
[INFO ] 2019-09-22T09:41:56,110 [Thread-2] Client - 27 219
[INFO ] 2019-09-22T09:41:56,273 [Thread-2] Client - 27 162
[INFO ] 2019-09-22T09:41:56,494 [Thread-2] Client - 27 221
[INFO ] 2019-09-22T09:41:56,706 [Thread-2] Client - 27 211
[INFO ] 2019-09-22T09:41:56,881 [Thread-2] Client - 27 175
[INFO ] 2019-09-22T09:41:57,073 [Thread-2] Client - 27 192
[INFO ] 2019-09-22T09:41:57,235 [Thread-2] Client - 27 162
[INFO ] 2019-09-22T09:41:57,474 [Thread-2] Client - 27 239
[INFO ] 2019-09-22T09:41:57,682 [Thread-2] Client - 27 207
[INFO ] 2019-09-22T09:41:57,910 [Thread-2] Client - 27 228
[INFO ] 2019-09-22T09:41:58,075 [Thread-2] Client - 27 165
[INFO ] 2019-09-22T09:41:58,330 [Thread-2] Client - 27 255
[INFO ] 2019-09-22T09:41:58,491 [Thread-2] Client - 27 160
[INFO ] 2019-09-22T09:41:58,721 [Thread-2] Client - 27 229
[INFO ] 2019-09-22T09:41:58,924 [Thread-2] Client - 27 202
[INFO ] 2019-09-22T09:41:59,106 [Thread-2] Client - 27 182
[INFO ] 2019-09-22T09:41:59,285 [Thread-2] Client - 27 177
[INFO ] 2019-09-22T09:41:59,469 [Thread-2] Client - 27 184
[INFO ] 2019-09-22T09:41:59,622 [Thread-2] Client - 27 152
[INFO ] 2019-09-22T09:41:59,854 [Thread-2] Client - 27 232
[INFO ] 2019-09-22T09:42:00,053 [Thread-2] Client - 27 199
[INFO ] 2019-09-22T09:42:00,260 [Thread-2] Client - 27 207
[INFO ] 2019-09-22T09:42:00,430 [Thread-2] Client - 27 168
[INFO ] 2019-09-22T09:42:00,627 [Thread-2] Client - 27 197
[INFO ] 2019-09-22T09:42:00,827 [Thread-2] Client - 27 200
[INFO ] 2019-09-22T09:42:01,066 [Thread-2] Client - 27 239
[INFO ] 2019-09-22T09:42:01,289 [Thread-2] Client - 27 222
[INFO ] 2019-09-22T09:42:01,479 [Thread-2] Client - 27 189
[INFO ] 2019-09-22T09:42:01,672 [Thread-2] Client - 27 192
[INFO ] 2019-09-22T09:42:01,866 [Thread-2] Client - 27 193
[INFO ] 2019-09-22T09:42:02,077 [Thread-2] Client - 27 210
[INFO ] 2019-09-22T09:42:02,289 [Thread-2] Client - 27 211
[INFO ] 2019-09-22T09:42:02,487 [Thread-2] Client - 27 197
[INFO ] 2019-09-22T09:42:02,667 [Thread-2] Client - 27 180
[INFO ] 2019-09-22T09:42:02,863 [Thread-2] Client - 27 196
[INFO ] 2019-09-22T09:42:03,075 [Thread-2] Client - 27 210
[INFO ] 2019-09-22T09:42:03,502 [Thread-2] Client - 27 427
[INFO ] 2019-09-22T09:42:03,840 [Thread-2] Client - 27 337
[INFO ] 2019-09-22T09:42:04,023 [Thread-2] Client - 27 182
[INFO ] 2019-09-22T09:42:04,184 [Thread-2] Client - 27 160
[INFO ] 2019-09-22T09:42:04,345 [Thread-2] Client - 27 159
[INFO ] 2019-09-22T09:42:04,527 [Thread-2] Client - 27 182
[INFO ] 2019-09-22T09:42:04,712 [Thread-2] Client - 27 185
[INFO ] 2019-09-22T09:42:04,883 [Thread-2] Client - 27 170
[INFO ] 2019-09-22T09:42:05,062 [Thread-2] Client - 27 178
